Ma_sinh_vien,Ho,Ten,Gioi_tinh,Ngay_sinh,Mail,Di_dong,CMND,Hoc_bong,Ma_khoa
C0001,Khương Thảo,Loan,FALSE,1999-01-04 0:00:00,ktloan@gmail.com,987314518,586900775484,2000000,CN
C0002,Đặng Bạch,Ngọc,TRUE,1999-11-11 0:00:00,dbngoc@gmail.com,987587327,274387352269,0,CN
C0003,Phạm Văn Minh,Thiện,TRUE,1999-11-23 0:00:00,pvmthien@gmail.com,987858734,835772714136,0,CN
C0004,Đinh Thị Thanh,Dung,FALSE,1999-01-19 0:00:00,dttdung@gmail.com,987508413,373064334392,1000000,CN
C0005,Trần Mạnh,Thiện,TRUE,1999-08-19 0:00:00,tmthien@gmail.com,987579776,233384596844,1000000,CN
C0006,Trần Văn Minh,Hiệu,TRUE,1999-12-12 0:00:00,tvmhieu@gmail.com,168595875,65746412487,1000000,CN
C0007,Lê Thị,Mai,FALSE,1999-09-13 0:00:00,ltmai@gmail.com,168116548,123537817134,2000000,CN
C0008,Bạch Vĩnh,Tuấn,TRUE,1999-06-08 0:00:00,bvtuan@gmail.com,987682839,643872714468,1000000,CN
C0009,Thái Thị Thanh,Nhung,FALSE,1999-07-18 0:00:00,tttnhung@gmail.com,913555665,943138244683,0,CN
C0010,Khương Văn Minh,Trọng,TRUE,1999-10-01 0:00:00,kvmtrong@gmail.com,913557276,548347163939,2000000,CN
C0011,Hoàng Thảo,Thúy,FALSE,1999-12-07 0:00:00,htthuy@gmail.com,987337162,948793354375,1000000,CN
C0012,Mã Vĩnh,Thiệu,TRUE,1999-10-09 0:00:00,mvthieu@gmail.com,168135829,522178884206,3000000,CN
C0013,Nguyễn Minh,Thu,FALSE,1999-07-18 0:00:00,nmthu@gmail.com,168591321,455733571868,1000000,CN
C0014,Khương Thị,Ly,FALSE,1999-02-11 0:00:00,ktly@gmail.com,987712052,454614611224,0,CN
C0015,Vương Thị Thanh,Loan,FALSE,1999-03-12 0:00:00,vttloan@gmail.com,913722185,360627878957,1000000,CN
C0016,Nguyễn Thảo,Trang,FALSE,1999-09-11 0:00:00,nttrang@gmail.com,987514786,219366710413,1000000,CN
C0017,Lê Thị Thảo,Đào,FALSE,1999-12-27 0:00:00,lttdao@gmail.com,987489713,434775158867,2000000,CN
C0018,Mã Thảo,Lan,FALSE,1999-02-07 0:00:00,mtlan@gmail.com,168975412,529235332621,1000000,CN
C0019,Thái Ngọc,Mỹ,TRUE,1999-02-24 0:00:00,tnmy@gmail.com,913595747,547026826518,1000000,CN
C0020,Phạm Bạch,Minh,TRUE,1999-10-03 0:00:00,pbminh@gmail.com,168151138,367172436369,1000000,CN
C0021,Vương Vĩnh,Hòa,TRUE,1999-01-03 0:00:00,vvhoa@gmail.com,987334366,661854084622,3000000,CN
C0022,Lý Phú,Ngọc,TRUE,1999-05-14 0:00:00,lpngoc@gmail.com,987465869,528385466287,2000000,CN
C0023,Nguyễn Thị Thanh,Lan,FALSE,1999-09-08 0:00:00,nttlan@gmail.com,913617889,825227227464,2000000,CN
C0024,Thái Nam,Sinh,TRUE,1999-11-17 0:00:00,tnsinh@gmail.com,913102284,371352323158,1000000,CN
C0025,Phạm Phương,Phương,FALSE,1999-06-15 0:00:00,ppphuong@gmail.com,168374535,774375787574,3000000,CN
C0026,Lâm Vĩnh,Hiệu,TRUE,1999-07-26 0:00:00,lvhieu@gmail.com,987880747,304474621035,0,CN
C0027,Đinh Thanh,Mỹ,TRUE,1999-11-26 0:00:00,dtmy@gmail.com,913774531,461863655265,0,CN
